feature;gain;feature_real
f5;584215,625;n_casos_lag1
f35;161532,25;precip_fore_cum4
f13;62356,09375;n_casos_mm4
f69;60009,01953125;tmin_fore_mm6
f6;50903,984375;n_casos_lag2
f37;29207,87890625;precip_fore_cum8
f18;17695,01171875;n_casos_cum4
f32;13275,1787109375;precip_fore_mm4
f7;12209,8466796875;n_casos_lag3
f33;11244,232421875;precip_fore_mm6
f34;10096,548828125;precip_fore_mm8
f26;9617,0517578125;precip_fore_lag4
f14;8554,7177734375;n_casos_mm6
f21;6443,1484375;n_casos_diff1
f22;6114,333984375;n_casos_pctchg1
f8;4801,4287109375;n_casos_lag4
f24;4337,61572265625;precip_fore_lag2
f27;3555,72705078125;precip_fore_lag5
f67;2327,138427734375;tmin_fore_lag6
f77;1803,719970703125;ndvi_mm6
f49;1539,1787109375;ndwi_mm8
f68;1432,0125732421875;tmin_fore_mm4
f23;1287,4940185546875;precip_fore_lag1
f46;1099,89501953125;ndwi_lag12
f9;1083,6983642578125;n_casos_lag6
f63;890,7890625;tmin_fore_lag2
f72;695,5979614257812;ndvi_lag6
f66;627,0587768554688;tmin_fore_lag5
f16;522,34814453125;n_casos_mm10
f45;378,7231750488281;ndwi_lag10
f12;374,3918151855469;n_casos_lag52
f2;367,9428405761719;tmin_fore
f4;337,6286315917969;precip_fore
f54;290,8140563964844;tmax_fore_lag2
f43;284,09442138671875;ndwi_lag6
f44;255,43431091308594;ndwi_lag8
f71;221,01759338378906;ndvi_lag4
f42;218,86749267578125;ndwi_lag4
f29;209,5777130126953;precip_fore_lag8
f52;205,50955200195312;ndwi_cum8
f25;202,59815979003906;precip_fore_lag3
f76;192,24349975585938;ndvi_mm4
f47;154,884521484375;ndwi_mm4
f40;148,69027709960938;ndwi_lag2
f55;140,94659423828125;tmax_fore_lag3
f59;136,31582641601562;tmax_fore_mm4
f3;129,25807189941406;ndwi
f0;129,13241577148438;ndvi
f38;124,95771789550781;precip_fore_diff1
f78;123,11662292480469;ndvi_mm8
f74;118,77633666992188;ndvi_lag10
f17;113,15325164794922;n_casos_mm12
f39;105,80359649658203;ndwi_lag1
f61;100,22650146484375;tmax_fore_diff1
f57;93,92227935791016;tmax_fore_lag5
f28;90,38048553466797;precip_fore_lag6
f62;83,2569351196289;tmin_fore_lag1
f75;82,9058609008789;ndvi_lag12
f41;81,41825103759766;ndwi_lag3
f11;80,8249282836914;n_casos_lag12
f53;78,32854461669922;tmax_fore_lag1
f56;75,47794342041016;tmax_fore_lag4
f65;74,36241149902344;tmin_fore_lag4
f10;72,20499420166016;n_casos_lag8
f70;71,64986419677734;tmin_fore_diff1
f1;68,376220703125;tmax_fore
f48;67,02286529541016;ndwi_mm6
f15;65,03548431396484;n_casos_mm8
f60;60,576480865478516;tmax_fore_mm6
f30;60,06843566894531;precip_fore_lag10
f58;57,79100799560547;tmax_fore_lag6
f31;52,61272048950195;precip_fore_lag12
f73;40,61362075805664;ndvi_lag8
f64;36,67995071411133;tmin_fore_lag3
f51;29,119884490966797;ndwi_cum6
f36;26,550369262695312;precip_fore_cum6
